,status,material_id,time
25260,,mp-1231,0.7094526290893555
22660,E,mp-1079172,0.7095468044281006
25085,,mp-1272771,0.7097909450531006
39282,,mp-976114,0.7098119258880615
18163,,mp-11824,0.7100207805633545
2002,,mp-2894,0.7101194858551025
28975,,mp-865246,0.7102189064025879
36716,,mp-1228891,0.7102923393249512
34785,,mp-1215448,0.7103481292724609
21207,,mp-6951,0.7103641033172607
41100,,mp-752398,0.7104907035827637
32571,E,mp-29862,0.7105119228363037
33664,,mp-1187294,0.7105576992034912
24019,,mp-1185770,0.7106904983520508
34498,E,mp-546790,0.7108137607574463
5258,,mp-4587,0.7108249664306641
33362,,mp-1215910,0.710960865020752
32051,,mp-30208,0.7109839916229248
40330,,mp-1224810,0.7109966278076172
24780,,mp-30621,0.7110095024108887
43510,,mp-1216499,0.711040735244751
28798,,mp-20354,0.7111377716064453
38927,,mp-604321,0.7111735343933105
12221,,mp-380,0.7112770080566406
16927,,mp-1120716,0.7113521099090576
14373,,mp-865602,0.7113661766052246
40481,E,mp-1227121,0.7115058898925781
12573,,mp-7425,0.7115371227264404
43725,,mp-998173,0.7115390300750732
9502,,mp-11841,0.7116134166717529
25488,,mp-9250,0.7118825912475586
37656,E,mp-1027781,0.7119419574737549
12102,,mp-1208590,0.7119677066802979
45153,E,mp-1540429,0.7121293544769287
23301,E,mp-1028771,0.7124018669128418
16204,,mp-1206681,0.7124969959259033
6178,,mp-1216963,0.7126264572143555
42073,,mp-865025,0.7127132415771484
37343,E,mp-557373,0.7131884098052979
29439,,mp-865771,0.7132384777069092
21619,,mp-569507,0.7132852077484131
25969,,mp-1112933,0.7132883071899414
13880,,mp-1225524,0.7133362293243408
14053,,mp-865460,0.7134256362915039
41995,,mp-973092,0.7134954929351807
4397,E,mp-1217298,0.7141132354736328
10340,,mp-7424,0.7144215106964111
40243,,mp-674,0.7144596576690674
20109,,mp-1066581,0.7144870758056641
22556,,mp-7984,0.7147154808044434
42030,,mp-567258,0.7150459289550781
38913,E,mp-1095167,0.715069055557251
32036,E,mp-1173475,0.715247631072998
26810,,mp-30343,0.715277910232544
2149,,mp-973676,0.7153325080871582
37390,,mp-1226906,0.7154679298400879
43298,,mp-867861,0.7155365943908691
36721,,mp-8528,0.7155828475952148
22552,,mp-4483,0.7159206867218018
42285,,mp-1215981,0.7160434722900391
26838,E,mp-1028823,0.7161962985992432
8781,E,mp-1217323,0.7162978649139404
300,,mp-1183542,0.7163798809051514
39371,,mp-1184772,0.7166240215301514
36504,,mp-974616,0.716637372970581
27677,,mp-675475,0.7166802883148193
32556,,mp-976421,0.7167730331420898
36304,,mp-11239,0.7170155048370361
44275,,mp-1018814,0.7172913551330566
39447,,mp-1217074,0.7173714637756348
21281,E,mp-1071955,0.7174580097198486
34399,,mp-1187616,0.7174654006958008
41440,E,mp-1028772,0.7175185680389404
31814,E,mp-573321,0.7176375389099121
41724,,mp-1216721,0.7177939414978027
17389,,mp-865846,0.7178232669830322
18289,,mp-579496,0.7178351879119873
24931,,mp-12919,0.717858076095581
23076,,mp-22466,0.7178785800933838
8367,,mp-1185319,0.7179360389709473
15855,E,mp-1030453,0.717984676361084
7505,,mp-1222919,0.7180428504943848
33047,E,mp-502,0.7180516719818115
31608,,mp-865357,0.7181646823883057
16576,,mp-1187699,0.7182497978210449
7062,,mp-27418,0.7183361053466797
39284,E,mp-29057,0.7184665203094482
34312,,mp-1078168,0.7185988426208496
31371,,mp-1018104,0.7186121940612793
34048,E,mp-1027682,0.718653678894043
24024,,mp-1094657,0.7186582088470459
25550,,mp-1094969,0.7187480926513672
44074,,mp-1222653,0.7188029289245605
33156,,mp-19871,0.7190220355987549
39248,E,mp-1217531,0.7190792560577393
33995,,mp-1227049,0.7191593647003174
38698,,mp-1067986,0.7192556858062744
19931,E,mp-1187410,0.7192811965942383
33551,,mp-188,0.7193028926849365
17732,,mp-924128,0.7193171977996826
6879,,mp-1223971,0.7194786071777344
35162,,mp-866179,0.7195334434509277
8417,,mp-15679,0.7195682525634766
35529,,mp-864884,0.7196025848388672
28727,,mp-978527,0.7199499607086182
2220,,mp-11563,0.7200677394866943
21263,,mp-567736,0.7201597690582275
33324,,mp-1185101,0.7202153205871582
35919,E,mp-863,0.720219612121582
41418,,mp-1210750,0.7202305793762207
26908,,mp-999289,0.7202978134155273
36931,,mp-1188020,0.7204074859619141
32658,,mp-1187567,0.7207417488098145
40688,,mp-1184094,0.7208640575408936
20512,,mp-999136,0.7209088802337646
32993,,mp-1227571,0.7213871479034424
38614,,mp-22660,0.7214584350585938
42491,,mp-1185327,0.7214992046356201
923,E,mp-4829,0.7215993404388428
10152,,mp-1187345,0.7217211723327637
35463,,mp-865315,0.7217617034912109
38151,E,mp-8435,0.7217800617218018
18461,,mp-1178135,0.7220480442047119
19835,,mp-1184997,0.7220542430877686
44932,,mp-1183758,0.7222418785095215
44198,,mp-1029258,0.7222592830657959
3273,,mp-1185881,0.7223470211029053
27234,,mp-982666,0.7224743366241455
25198,,mp-982007,0.7225258350372314
36378,,mp-19765,0.7226991653442383
8793,,mp-1226008,0.7228438854217529
21444,,mp-999336,0.7228989601135254
19547,,mp-1018116,0.7229290008544922
14017,,mp-4982,0.7229418754577637
27049,E,mp-30247,0.7230386734008789
37162,,mp-1008874,0.7231395244598389
37315,,mp-1029267,0.7231507301330566
2583,,mp-1077361,0.7232868671417236
39665,E,mp-1025023,0.7233479022979736
41729,,mp-867208,0.7233812808990479
39320,E,mp-1027409,0.7234475612640381
26496,E,mp-1024968,0.7235097885131836
9264,,mp-867134,0.7235679626464844
37970,,mp-1097916,0.7237589359283447
31080,E,mp-500,0.7237603664398193
31594,E,mp-862319,0.7237792015075684
14490,E,mp-625565,0.7238147258758545
42913,,mp-19918,0.723865270614624
35387,,mp-4041,0.7239899635314941
16510,,mp-21008,0.7242755889892578
17411,E,mp-1273062,0.7243132591247559
39088,,mp-867502,0.7243313789367676
35336,,mp-1226018,0.7243690490722656
38733,,mp-1018117,0.7245047092437744
31064,,mp-1220155,0.724816083908081
17920,E,mp-1227439,0.7248795032501221
28220,,mp-863675,0.7250819206237793
38203,,mp-980094,0.725212574005127
23787,,mp-15686,0.7252542972564697
8136,,mp-1184156,0.7253108024597168
45211,,mp-1186667,0.7253503799438477
40491,,mp-1187828,0.725529670715332
21620,E,mp-1181502,0.7256059646606445
16601,E,mp-1183089,0.725816011428833
38600,,mp-568880,0.7258343696594238
36956,,mp-1038869,0.7258601188659668
28040,,mp-7431,0.7258758544921875
42728,,mp-28945,0.7258763313293457
19199,,mp-1184521,0.7261779308319092
35396,,mp-9006,0.7261912822723389
25471,,mp-977358,0.726226806640625
18976,,mp-1072037,0.7262465953826904
28476,,mp-1071269,0.7264413833618164
33837,,mp-1184152,0.7265834808349609
18502,,mp-865996,0.7268636226654053
32479,E,mp-1217163,0.7269320487976074
32622,,mp-1173043,0.7271125316619873
13480,,mp-105,0.7272758483886719
42851,,mp-983583,0.7273356914520264
26059,,mp-1224129,0.7273983955383301
44649,,mp-27607,0.7274131774902344
29029,,mp-1215537,0.7276527881622314
42306,,mp-865745,0.727726936340332
26874,,mp-1183636,0.7277569770812988
35569,,mp-1188021,0.7278423309326172
20479,,mp-8260,0.7279343605041504
39429,,mp-1184276,0.7281379699707031
11725,,mp-11522,0.7282974720001221
29653,,mp-867880,0.728325605392456
9116,E,mp-1247154,0.7283735275268555
19703,,mp-1183717,0.7284753322601318
40596,E,mp-625055,0.7284843921661377
23054,,mp-866031,0.7285044193267822
43577,,mp-1019109,0.7285337448120117
30178,,mp-1224792,0.7285823822021484
17773,,mp-1100415,0.7285861968994141
43894,,mp-1215688,0.7285990715026855
22815,,mp-2757,0.7287430763244629
43459,,mp-867210,0.7289226055145264
15160,E,mp-1101301,0.7290081977844238
39645,,mp-1184829,0.7291383743286133
23577,,mp-979420,0.7293136119842529
7571,,mp-1186171,0.7293179035186768
31524,E,mp-1224350,0.7295510768890381
39693,,mp-7958,0.7297296524047852
35133,,mp-1094591,0.7297770977020264
12328,,mp-20366,0.7299222946166992
27581,,mp-973254,0.730013370513916
18935,,mp-972660,0.7300477027893066
26365,,mp-131,0.7301239967346191
1843,E,mp-862800,0.7301666736602783
7956,,mp-1224790,0.7302465438842773
18875,E,mp-27848,0.7302615642547607
40550,,mp-1219474,0.7305238246917725
22049,E,mp-571279,0.7305624485015869
26767,,mp-4123,0.7306864261627197
18275,,mp-1018072,0.7308058738708496
12953,,mp-1185836,0.7309436798095703
36144,E,mp-1852,0.73099684715271
44312,,mp-1186580,0.7310726642608643
16614,E,mp-23891,0.73110032081604
